candidate_id,candidate_name,initial_cuisine,initial_business_type,initial_price_band,initial_priority,observed_source_roles,observed_address_bases,district_language_observed,dine_in_language_observed,closure_language_observed,tfda_exact_address_match_count,tfda_exact_address_registered_names,tfda_strong_name_lead_count,tfda_strong_name_addresses,provisional_brand_domain,measurement_domain_status,review_status,eligibility_decision,exclusion_reason_code,reviewer,evidence_boundary
001,鼎泰豐（101店）,台／中式,連鎖／飯店,$$,P1 優先,brand|round2|round1,台北市信義區市府路45號,true,true,true,80,古典玫瑰園國際股份有限公司|緯豆國際股份有限公司|快樂地健康食品股份有限公司|安心食品服務股份有限公司|鮮沛股份有限公司|旭承食品行|特威茶葉有限公司|奎士股份有限公司|二十一世紀生活事業股份有限公司|葉味香企業社|拾楀餐飲股份有限公司|金皇食品股份有限公司,3,台北市信義區市府路45號B1|台北市信義區松高路19號B2|台北市信義區松仁路58號1樓,dintaifung.com.tw,brand_root_candidate_needs_manual_confirmation,ready_for_manual_eligibility_review,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
002,食令 Shabu,鍋物,獨立／地方品牌,$$,P2 補足多樣性,brand|round1,台北市信義區市府路45號,true,true,false,80,古典玫瑰園國際股份有限公司|緯豆國際股份有限公司|快樂地健康食品股份有限公司|安心食品服務股份有限公司|鮮沛股份有限公司|旭承食品行|特威茶葉有限公司|奎士股份有限公司|二十一世紀生活事業股份有限公司|葉味香企業社|拾楀餐飲股份有限公司|金皇食品股份有限公司,0,,shilingshabu.com,brand_root_candidate_needs_manual_confirmation,ready_for_manual_eligibility_review,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
003,艾朋牛排餐酒館,西式,獨立／地方品牌,$$$,P2 補足多樣性,brand|round1,台北市信義區忠孝東路五段139號,true,true,false,2,大苑子開發股份有限公司,0,,apointsteak.com.tw,brand_root_candidate_needs_manual_confirmation,ready_for_manual_eligibility_review,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
004,紫艷中餐廳,台／中式,獨立／地方品牌,$$,P2 補足多樣性,support|round2|round1,台北市信義區忠孝東路五段22巷6號,true,true,false,0,,0,,,no_confirmed_brand_root,higher_tier_page_observed_address_crosscheck_needed,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
005,合.Shabu,鍋物,獨立／地方品牌,$$,P2 補足多樣性,brand|support|round2|round1,台北市信義區松仁路28號,true,true,false,27,艾斯奇餐飲股份有限公司|翠寶國際股份有限公司|震欣股份有限公司|初衣食午股份有限公司|梅門養生館股份有限公司|庭茂農業生技股份有限公司|悠旅生活事業股份有限公司|廷寶國際企業股份有限公司|富美佳貿易股份有限公司|食逸股份有限公司|非凡品樂有限公司|鼎霖全球商貿有限公司,0,,hostshabu.com,brand_root_candidate_needs_manual_confirmation,ready_for_manual_eligibility_review,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
006,樂軒松阪亭,台／中式,獨立／地方品牌,$$$,P2 補足多樣性,support|round1,,true,true,false,0,,0,,,no_confirmed_brand_root,higher_tier_page_observed_address_crosscheck_needed,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
007,隨意鳥101高空觀景餐廳,台／中式,獨立／地方品牌,$$$$,P2 補足多樣性,,,false,false,false,0,,0,,,no_confirmed_brand_root,source_gap,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
008,LA FARFALLA 義式餐廳－台北艾麗酒店,西式,連鎖／飯店,$$$,P1 優先,support|round2,,false,true,false,0,,0,,,no_confirmed_brand_root,third_party_page_lead_only,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
009,馬友友印度廚房,東南／南亞,獨立／地方品牌,$$,P2 補足多樣性,brand|round1,台北市信義區基隆路一段350號,true,true,false,1,樂希米國際有限公司,0,,indianfoodtaiwan.com,brand_root_candidate_needs_manual_confirmation,ready_for_manual_eligibility_review,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
010,泰市場海鮮自助餐廳,東南／南亞,獨立／地方品牌,$$,P2 補足多樣性,round2|round1,,true,true,false,0,,0,,,no_confirmed_brand_root,third_party_page_lead_only,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
011,凱菲屋－台北君悅酒店,自助餐,連鎖／飯店,$$$,P1 優先,round2,台北市信義區松壽路2號,true,true,false,1,黑橋牌企業股份有限公司,0,,,no_confirmed_brand_root,government_address_crosscheck_lead,pending_human_review,,,"Automated joins create review leads only; they do not establish current operation, dine-in eligibility, or official ownership."
