candidate_id,candidate_name,lead_count,lead_1_url,lead_1_domain,lead_1_title,lead_1_score,lead_2_url,lead_2_domain,lead_2_title,lead_2_score,lead_3_url,lead_3_domain,lead_3_title,lead_3_score,verification_status
001,鼎泰豐（101店）,0,,,,,,,,,,,,,no_ranked_official_lead
002,食令 Shabu,3,http://www.shilingshabu.com/,shilingshabu.com,食令 SHABU ∣ 頂級鍋物 - 食令shabu｜台北頂級鍋物｜觀光客最愛鍋物餐廳｜信義區聚餐推薦,9,http://www.shilingshabu.com/menu.html,shilingshabu.com,台北頂級鍋物｜觀光客最愛鍋物餐廳｜食令shabu｜菜單介紹 - 食令 SHABU ∣ 頂級鍋物,9,https://busy.tw/category/taipeifood/%E4%BF%A1%E7%BE%A9%E7%BE%8E%E9%A3%9F/,busy.tw,信義美食 – 嘴很忙小姐,4,ranked_official_lead_needs_direct_verification
003,艾朋牛排餐酒館,0,,,,,,,,,,,,,no_ranked_official_lead
004,紫艷中餐廳,1,https://www.tablecheck.com/zh-TW/w-hotel-yen/reserve,tablecheck.com,YEN Chinese Restaurant 紫艷中餐廳- 台北W飯店,7,,,,,,,,,ranked_official_lead_needs_direct_verification
005,合.Shabu,3,https://www.hostshabu.com/hostshabulocation.html,hostshabu.com,台北頂級鍋物｜觀光客最愛鍋物餐廳｜合shabu｜營業時間｜交通資訊,12,https://www.bellavita.com.tw/cht/store.php?d=95,bellavita.com.tw,樓面介紹> 4F 景觀餐廳> 合．shabu 鍋物料理 - BELLAVITA,8,http://www.hostshabu.com.tw/,hostshabu.com.tw,合．shabu 鍋物料理 - 台北,7,ranked_official_lead_needs_direct_verification
006,樂軒松阪亭,1,https://www.skm.com.tw/brand/11129,skm.com.tw,MATSUZAKA TEI 樂軒松阪亭 專櫃/門市｜新光三越 | 新光百貨首頁 | 最新優惠 | SKM官方網站,8,,,,,,,,,ranked_official_lead_needs_direct_verification
007,隨意鳥101高空觀景餐廳,0,,,,,,,,,,,,,no_ranked_official_lead
008,LA FARFALLA 義式餐廳－台北艾麗酒店,3,https://www.tablecheck.com/zh-TW/la-farfalla-italy/reserve/landing,tablecheck.com,LA FARFALLA 義式餐廳- 台北艾麗酒店,9,http://www.humblehousehotels.com/zh-tw/websev?cat=restaurant&id=1,humblehousehotels.com,台北艾麗 希爾頓格芮精選酒店 - 餐廳與酒吧 - LA FARFALLA 餐廳,7,https://www.myfunnow.com/zh-tw/branches/3024213777289,myfunnow.com,台北艾麗酒店 LA FARFALLA 義式餐廳 | FunNow - 線上即時預訂餐廳、住宿、按摩,5,ranked_official_lead_needs_direct_verification
009,馬友友印度廚房,0,,,,,,,,,,,,,no_ranked_official_lead
010,泰市場海鮮自助餐廳,1,https://www.regenttaiwan.com/dining/outside-dining/spice-market,regenttaiwan.com,泰市場 | 館外餐廳 | 佳餚美饌 | 台北晶華酒店,6,,,,,,,,,ranked_official_lead_needs_direct_verification
011,凱菲屋－台北君悅酒店,3,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cafe,hyatt.com,凱菲屋 | 國際頂尖自助餐 | 台北君悅酒店,10,https://vivianexplore.tw/cafe-at-grand-hyatt-taipei/,vivianexplore.tw,【2026凱菲屋】台北君悅酒店自助餐，海鮮、甜點、中式餐點推薦！,4,https://minako.tw/cafe-in-grand-hyatt-taipei/,minako.tw,【君悅酒店凱菲屋Cafe】2025台北人氣吃到飽餐點資訊、價位、餐券整理 – 美奈子的微旅行,4,ranked_official_lead_needs_direct_verification
012,一蘭拉麵－台灣台北本店,3,https://ichiran.com.tw/shop/stores.aspx,ichiran.com.tw,一蘭拉麵| 一蘭台灣官方購物網 - 一蘭、一蘭拉麵、拉麵、一蘭台灣購物網、一蘭購物、一蘭伴手禮、台灣一蘭、日本食品、博多細麵、捲麵、豚骨拉麵、一蘭商品、伴手禮、拉麵商品、即食麵、釜醬汁豚骨拉麵、博多拉麵、日本泡麵、日本進口、福岡、九州、日本,5,https://hamibobo.tw/ichiran-taipei/,hamibobo.tw,台北信義美食「一蘭拉麵 台灣台北本店」24小時營業、點餐方式、菜單價位 – 海綿飽飽的鳳梨城堡,4,https://vivawei.tw/ichiran-taipei/,vivawei.tw,台北信義美食｜『一蘭拉麵-台北本店』24小時營業的天然豚骨拉麵專門店(象山捷運站) @瑋瑋＊美食萬歲,4,ranked_official_lead_needs_direct_verification
013,Texas Roadhouse,3,https://texasroadhouse.com.tw/,texasroadhouse.com.tw,Texas Roadhouse 德州鮮切牛排,9,https://www.casualrestaurants.com/brand/display/2,casualrestaurants.com,Texas Roadhouse | 開展餐飲集團CasualRestaurants,5,https://windiewang.com/2025/08/06/taipei-texas-roadhouse/,windiewang.com,[台北美食]市政府站 信義美式餐廳！Texas Roadhouse 德州鮮切牛排 現切肋眼、炸物拼盤一次滿足 - windiance風香拾光,4,ranked_official_lead_needs_direct_verification
014,彩日本料理－台北君悅酒店,1,https://www.tablecheck.com/zh-TW/grand-hyatt-taipei-irodori/reserve,tablecheck.com,彩日本料理 - 台北君悦酒店 - TableCheck,9,,,,,,,,,ranked_official_lead_needs_direct_verification
