公司或商業登記名稱,公司統一編號,業者地址,食品業者登錄字號,登錄項目
欣欣坊餐飲股份有限公司,53938771,台北市信義區基隆路一段１６３號Ｂ１,A-153938771-00002-3,餐飲場所
欣欣坊餐飲股份有限公司,53938771,台北市信義區基隆路一段159號B1,A-153938771-00012-4,餐飲場所
欣欣坊餐飲股份有限公司,53938771,台北市信義區松智路17號5樓(微風南山),A-153938771-00015-7,餐飲場所
台灣美威水產股份有限公司,53945225,台北市信義區松高路11號B2,A-153945225-00026-1,餐飲場所
福來許生活企業股份有限公司,53946049,台北市信義區松仁路58號14樓,A-153946049-00003-1,餐飲場所
樂希米國際有限公司,53947764,台北市信義區基隆路一段350號之7,A-153947764-00002-5,餐飲場所
家康餐飲食有限公司,53948686,台北市信義區松壽路12號5樓,A-153948686-00004-1,餐飲場所
貞德咖啡國際股份有限公司,,台北市信義區莊敬路180號,A-153948975-00001-9,餐飲場所
安永生活事業股份有限公司,53949524,台北市信義區松勤街100號1F,A-153949524-00053-7,餐飲場所
安永生活事業股份有限公司,53949524,台北市信義區菸廠路88號B1,A-153949524-00058-2,餐飲場所
古典玫瑰園國際股份有限公司,53951936,台北市信義區市府路45號B1樓 (101購物中心),A-153951936-00081-8,餐飲場所
台灣北壽心股份有限公司,53953081,台北市信義區忠孝東路4段553巷30號,A-153953081-00003-5,餐飲場所
台灣北壽心股份有限公司,53953081,台北市信義區松智路17號2樓,A-153953081-00007-9,餐飲場所
台灣北壽心股份有限公司,53953081,台北市信義區松高路12號2樓,A-153953081-00009-1,餐飲場所
台灣北壽心股份有限公司,53953081,台北市信義區台北市信義區松高路12號B2樓,A-153953081-00013-6,餐飲場所
小器生活創意股份有限公司,53953548,台北市信義區松智路17號3樓,A-153953548-00009-9,餐飲場所
大灣碼頭餐飲股份有限公司信義松隆分公司,54020475,台北市信義區松隆路1號及1之1號,A-154020475-00001-6,餐飲場所
福餐聯餐飲股份有限公司,54027202,台北市信義區永吉路30巷157弄2號,A-154027202-00020-2,餐飲場所
福餐聯餐飲股份有限公司,54027202,台北市信義區永吉路30巷157弄2號,A-154027202-00052-7,餐飲場所
福餐聯餐飲股份有限公司,54027202,台北市信義區莊敬路290號1樓,A-154027202-00101-2,餐飲場所
春陽茶事股份有限公司,55822016,台北市信義區吳興街220巷7號,A-155822016-00001-8,餐飲場所
小夏國際有限公司,55838663,台北市信義區永吉路30巷157弄6號,A-155838663-00001-3,餐飲場所
艾斯奇餐飲股份有限公司,55847754,台北市信義區松仁路28號B204,A-155847754-00003-6,餐飲場所
艾斯奇餐飲股份有限公司,55847754,台北市信義區松仁路58號4樓417櫃號,A-155847754-00004-7,餐飲場所
龍澄國際有限公司,55849731,台北市信義區忠孝東路四段559巷14號1樓,A-155849731-00011-2,餐飲場所
愛絲葵國際股份有限公司,55858668,台北市信義區松高路11號B2,A-155858668-00008-7,餐飲場所
愛絲葵國際股份有限公司,55858668,台北市信義區松高路11號B2,A-155858668-00009-8,餐飲場所
愛絲葵國際股份有限公司,55858668,台北市信義區忠孝東路四段505號B2(B-036),A-155858668-00013-3,餐飲場所
妃樂冰品有限公司,56603377,台北市信義區松西路12號,A-156603377-00010-6,餐飲場所
香港商快富有限公司,58245904,台北市信義區忠孝東路5段68號B1F,A-158245904-00001-6,餐飲場所
塞席爾商堯熙股份有限公司,59035271,台北市信義區松壽路11號2F,A-159035271-00003-3,餐飲場所
塞席爾商堯熙股份有限公司,59035271,台北市信義區松高路11號,A-159035271-00008-8,餐飲場所
美客餐飲有限公司,60282860,台北市信義區忠孝東路四段559巷28號,A-160282860-00009-9,餐飲場所
乃木坂餐飲管理顧問股份有限公司,60308871,台北市信義區逸仙路32巷15號1樓,A-160308871-00001-2,餐飲場所
壞壞問號有限公司,60328264,台北市信義區基隆路1段186號5樓之6,A-160328264-00001-0,餐飲場所
諾馬德國際事業有限公司,82828400,台北市信義區仁愛路4段520之5號,A-182828400-00001-1,餐飲場所
木盆實業有限公司,82836204,台北市信義區忠孝東路五段361號,A-182836204-00010-2,餐飲場所
緯豆國際股份有限公司,82844838,台北市信義區市府路45號B1F,A-182844838-00002-5,餐飲場所
緯豆國際股份有限公司,82844838,台北市信義區松仁路58號4樓,A-182844838-00003-6,餐飲場所
緯豆國際股份有限公司,82844838,台北市信義區忠孝東路5段68號4樓,A-182844838-00008-1,餐飲場所
緯豆國際股份有限公司,82844838,台北市信義區松高路12號B2,A-182844838-00014-8,餐飲場所
大展國際餐飲股份有限公司,82847238,台北市信義區松仁路58號B3,A-182847238-00005-5,餐飲場所
密斯杰餐飲行銷股份有限公司,82852127,台北市信義區基隆路一段147巷5弄7號1樓,A-182852127-00001-4,餐飲場所
湯極股份有限公司,82855291,台北市信義區逸仙路50巷18號1樓,A-182855291-00001-9,餐飲場所
富飲股份有限公司,82856616,台北市信義區松高路12號B2,A-182856616-00003-3,餐飲場所
山川宴有限公司,82869892,台北市信義區松仁路58號4樓402櫃位,A-182869892-00001-1,餐飲場所
煜熺有限公司,82880025,台北市信義區吳興街284巷1之1號,A-182880025-00001-2,餐飲場所
旭日陽有限公司,82880708,台北市信義區信義路4段395巷6弄8號,A-182880708-00001-0,餐飲場所
秋風軒管理顧問有限公司,83777647,台北市信義區松山路11號2樓,A-183777647-00008-5,餐飲場所
寶貝香股份有限公司,83962559,台北市信義區松智路17號4樓,A-183962559-00001-6,餐飲場所
路易奇電力股份有限公司,83967560,台北市信義區忠孝東路五段1-3號１樓,A-183967560-00003-5,餐飲場所
匹塔餐飲股份有限公司,84012536,台北市信義區敦厚里永吉路６４號１樓,A-184012536-00002-9,餐飲場所
快樂地健康食品股份有限公司,84107195,台北市信義區松壽路11號B2,A-184107195-00001-4,餐飲場所
快樂地健康食品股份有限公司,84107195,台北市信義區忠孝東路5段8號B2,A-184107195-00002-5,餐飲場所
快樂地健康食品股份有限公司,84107195,台北市信義區市府路45號B1,A-184107195-00006-9,餐飲場所
好樂迪股份有限公司,84256265,台北市信義區基隆路二段109號B1、111號1樓,A-184256265-00021-9,餐飲場所
享晨光早午餐,88294607,台北市信義區松德路193號,A-200238996-00001-7,餐飲場所
明記小吃店,76474772,台北市信義區忠孝東路5段435之2號,A-200239253-00001-4,餐飲場所
明記小吃店,76474772,台北市信義區忠孝東路5段435之2號,A-200239253-00002-5,餐飲場所
燕山湯圓店,00575466,台北市信義區虎林街108巷11號,A-200239810-00001-3,餐飲場所
no.169 吳興街專業炭火碳烤,,台北市信義區吳興街169號,A-200239824-00001-8,餐飲場所
甲蟲秘境親子企業有限公司象山分公司,90367653,台北市信義區信義路五段150巷310號,A-200240611-00001-4,餐飲場所
孫家餐館,14333747,台北市信義區松山路437號1樓,A-202275670-00001-9,餐飲場所
