store_id,brand_id,official_name_zh,official_name_en,aliases,official_domains,owned_urls,shared_domain_flag,branch_name,district,include_status,exclusion_reason_code,reviewed_by,reviewed_at,truth_source,dataset_version
XY-001,BR-DINTAIFUNG,鼎泰豐,Din Tai Fung,鼎泰豐|Din Tai Fung|鼎泰豊,dintaifung.com.tw,https://www.dintaifung.com.tw/store-detail.php?id=252,true,101店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-002,BR-SHILINGSHABU,食令 Shabu,Shiling Shabu,食令|食令shabu|食令火鍋,shilingshabu.com,http://www.shilingshabu.com/,false,101旗艦店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-003,BR-APOINTSTEAK,艾朋牛排餐酒館,A Point Steak & Bar,艾朋|艾朋牛排|A Point Steak,apointsteak.com.tw,https://www.apointsteak.com.tw/,false,,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-004,BR-WTPE-YEN,紫艷中餐廳,YEN Chinese Restaurant,紫艷|台北W飯店紫艷|YEN,marriott.com,https://www.marriott.com/en-us/hotels/tpewh-w-taipei/dining/yen-chinese-restaurant/,true,台北W飯店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-005,BR-HOSTSHABU,合.Shabu,Host Shabu,合Shabu|合火鍋|Host Shabu,hostshabu.com,https://www.hostshabu.com/hostshabulocation.html,false,BELLAVITA店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-006,BR-ROKEN,樂軒松阪亭,Roken Matsusaka Tei,樂軒|樂軒和牛|松阪亭,skm.com.tw,https://www.skm.com.tw/brand/11129,true,信義新光A4店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-007,BR-DIAMONDTONY,隨意鳥101高空觀景餐廳,Diamond Tony's 101 Restaurant,隨意鳥地方|隨意鳥101|Diamond Tony's,dt101.com.tw,https://www.dt101.com.tw/,true,101店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-008,BR-HUMBLE-FARFALLA,LA FARFALLA 義式餐廳,La Farfalla,La Farfalla|艾麗義式餐廳|台北艾麗LA FARFALLA,humblehousehotels.com,https://www.humblehousehotels.com/zh-tw/websev?cat=restaurant&id=1,true,台北艾麗酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-009,BR-INDIANFOOD,馬友友印度廚房,Mayur Indian Kitchen,馬友友印度廚房|MIK|Mayur Indian Kitchen,indianfoodtaiwan.com,https://www.indianfoodtaiwan.com/zh,false,基隆路店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-010,BR-SPICEMARKET,泰市場海鮮自助餐廳,Spice Market Seafood Buffet,泰市場|泰市場自助餐廳|Spice Market,regenttaiwan.com,https://www.regenttaiwan.com/dining/outside-dining/spice-market,true,大直英迪格店（原誠品信義店）,信義區,excluded,not_in_district,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-011,BR-HYATT-CAFE,凱菲屋,Café Grand Hyatt Taipei,凱菲屋|君悅凱菲屋|Cafe Grand Hyatt,hyatt.com,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cafe,true,台北君悅酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-012,BR-ICHIRAN,一蘭拉麵,Ichiran Ramen,一蘭|一蘭拉麵|天然豚骨拉麵專門店 一蘭,ichiran.com.tw,https://ichiran.com.tw/shop/stores.aspx,false,台灣台北本店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-013,BR-TEXASROADHOUSE,Texas Roadhouse 德州鮮切牛排,Texas Roadhouse,Texas Roadhouse|德州鮮切牛排|德州牛排,texasroadhouse.com.tw,https://texasroadhouse.com.tw/,false,微風松高店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-014,BR-HYATT-IRODORI,彩日本料理,Irodori Grand Hyatt Taipei,彩日本料理|君悅彩日本料理|Irodori,hyatt.com,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/irodori,true,台北君悅酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-015,BR-INPARADISE,INPARADISE 饗饗,INPARADISE,饗饗|INPARADISE|饗饗信義店,inparadise.com.tw,https://inparadise.com.tw/zh-TW/store/Xinyi,false,微風信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-016,BR-TC-STEAK,Top Cap Steakhouse,Top Cap Steakhouse by Danny,Top Cap Steakhouse|教父牛排Top Cap|TC Steakhouse,dannycompany.com.tw,https://www.dannycompany.com.tw/home/top-cap-steakhouse/,true,信義新光A4店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
