candidate_id,candidate_name,search_status,lead_count,lead_1_url,lead_1_domain,lead_1_title,lead_2_url,lead_2_domain,lead_2_title,lead_3_url,lead_3_domain,lead_3_title,verification_status,reviewer,notes
001,鼎泰豐（101店）,success,1,https://carp0729.tw/2016/01/blogger-ding.html,carp0729.tw,【台北信義】鼎泰豐101店 @魚樂分享誌 @ 魚樂分享誌,,,,,,,needs_direct_verification,,
002,食令 Shabu,success,2,http://www.shilingshabu.com/,shilingshabu.com,食令 SHABU ∣ 頂級鍋物 - 食令shabu｜台北頂級鍋物｜觀光客最愛鍋物餐廳｜信義區聚餐推薦,http://www.shilingshabu.com/menu.html,shilingshabu.com,台北頂級鍋物｜觀光客最愛鍋物餐廳｜食令shabu｜菜單介紹 - 食令 SHABU ∣ 頂級鍋物,,,,needs_direct_verification,,
003,艾朋牛排餐酒館,success,3,https://www.apointsteak.com.tw/,apointsteak.com.tw,牛排館榮獲Tripadvisor 滿分五顆星推薦|台北牛排館信義區唯一絕佳視野夜景聚會場所 | 艾朋牛排館,https://beri.tw/a-point-steak/,beri.tw,艾朋牛排餐酒館｜台北信義區高級牛排餐廳 西班牙豪華木炭烤箱的獨特風味 – 莓姬貝利・食事旅行,https://tianya.tw/apointsteak/,tianya.tw,【艾朋牛排餐酒館】信義區景觀餐廳，約會慶生首選高級牛排館，台北老饕推薦百萬等級果木煙燻牛排 – 下一站，天涯,needs_direct_verification,,
004,紫艷中餐廳,success,2,https://www.tablecheck.com/zh-TW/w-hotel-yen/reserve,tablecheck.com,YEN Chinese Restaurant 紫艷中餐廳- 台北W飯店,https://hedonistjun.com/yenchineseresturant/,hedonistjun.com,《台北‧信義》紫艷中餐廳-在31樓高空 細品廣式片皮鴨新潮粵菜 – JUN享樂誌｜HEDONIST JUN,,,,needs_direct_verification,,
005,合.Shabu,success,3,http://www.hostshabu.com.tw/,hostshabu.com.tw,合．shabu 鍋物料理 - 台北,https://yedistyle.com/shabu/,yedistyle.com,| 美食 |火鍋界的愛馬仕-合.shabu。頂級御品海鮮 / 浪漫約會首選 [台北信義區Bellavita] – 享芙食光,https://www.bellavita.com.tw/cht/store.php?d=95,bellavita.com.tw,樓面介紹> 4F 景觀餐廳> 合．shabu 鍋物料理 - BELLAVITA,needs_direct_verification,,
006,樂軒松阪亭,success,2,https://www.skm.com.tw/brand/11129,skm.com.tw,MATSUZAKA TEI 樂軒松阪亭 專櫃/門市｜新光三越 | 新光百貨首頁 | 最新優惠 | SKM官方網站,https://www.bring-you.info/zh-tw/matsusakatei-taipei,bring-you.info,樂軒松阪亭｜信義區A5和牛關西風壽喜燒+燒肉商業午餐推薦 | BringYou,,,,needs_direct_verification,,
007,隨意鳥101高空觀景餐廳,success,0,,,,,,,,,,no_nonplatform_lead,,
008,LA FARFALLA 義式餐廳－台北艾麗酒店,success,0,,,,,,,,,,no_nonplatform_lead,,
009,馬友友印度廚房,success,3,https://www.indianfoodtaiwan.com/zh,indianfoodtaiwan.com,蔬食純素 | 清真印度食物就在台北新竹台中 | 台灣馬友友印度廚房,https://nakaihd.blogspot.com/2014/02/Mayur-Indian-kitchen.html,nakaihd.blogspot.com,[信義區] 馬友友印度廚房 - 道地的印度料理 - K's Travel & Life Channel,https://www.indianfoodtaiwan.com/zh/home-mik,indianfoodtaiwan.com,台灣最棒的印度餐廳馬友友、巴雷巴雷 - Mayur Indian Kitchen,needs_direct_verification,,
010,泰市場海鮮自助餐廳,success,3,https://www.cosmopolitan.com/tw/lifestyle/hot-topics/g60086796/spice-market/,cosmopolitan.com,「泰市場海鮮自助餐廳」重磅回歸！多達90道噴香菜色，泰式榴槤披薩、香茅青檸啤酒、泰國嘟嘟糕通通吃到飽,https://www.wepeople.club/%E6%B3%B0%E5%B8%82%E5%A0%B4%E6%B5%B7%E9%AE%AE%E8%87%AA%E5%8A%A9%E9%A4%90%E5%BB%B3%E9%87%8D%E7%A3%85%E5%9B%9E%E6%AD%B8%EF%BC%9B%E4%B8%89%E5%A4%A7%E9%A4%90%E5%8D%80%E4%B8%83%E5%A4%A7%E4%BA%AE%E9%BB%9E/,wepeople.club,泰市場海鮮自助餐廳重磅回歸；三大餐區七大亮點搶先看 - WEPEOPLE CLUB,https://bibilo.tw/spice-market/,bibilo.tw,泰市場海鮮自助餐 Spice Market 大直英迪格 台北唯一泰式吃到飽 台北吃到飽推薦 – 魔王的碗公,needs_direct_verification,,
