"candidate_id","candidate_name"
"007","隨意鳥101高空觀景餐廳"
"008","LA FARFALLA 義式餐廳－台北艾麗酒店"
"010","泰市場海鮮自助餐廳"
"017","海底撈台灣信義店（微風南山）"
"025","French Windows－British TeaHouse"
"027","Meat Love 橡木炭火韓國烤肉"
"028","Saffron 46"
"036","Hooters Xinyi 美式餐廳"
"037","凱林鐵板燒"
"038","DA ANTONIO By 大安東尼"
"039","樂天皇朝台灣"
"040","TGI Friday's"
"044","瓦城泰國料理－台北阪急店"
"045","GB鮮釀餐廳信義店"
"046","Bel Air Bar & Grill"
"048","漂亮台式海鮮餐廳"
"049","燒肉同話－台北光復南店"
"052","徐淮人家"
"055","添好運台北信義店"
"056","Ziga Zaga－台北君悅酒店"
"058","日本橋海鮮丼 辻半－微風信義店"
"060","橘色涮涮屋新光三越A9店"
"067","JK STUDIO"
"069","味美早餐店 Wei Mei Breakfast Restaurant"
"073","歐帕希臘小館"
"074","Osteria by Angie"
"076","開飯川食堂－台北阪急店"
"078","酮版低糖餐廳"
"083","Cheers－台北君悅酒店"
"084","非常泰概念餐坊－Neo19店"
"087","Seasons by Olivier E."
"089","The Chapter Cafe"
"092","輪輪1976 和食茶酒驛"
"094","施家麻油腰花"
"095","鯤壽司"
"100","百家班活蝦店－基隆路店"
"101","北平陶然亭 Beijing－Do It True"
"102","NOLA Kitchen－信義店"
"104","牛かつもと村－遠百信義A13"
"112","心月懷石日本料理"
"113","周胖子餃子館－忠孝店"
"114","Divadlo 捷克公寓"
"116","I Met You Cafe"
"118","大戶屋－統一時代台北店"
"120","Hong Kong 88 Hot Pot"
"121","Bing"
"123","渣男 Taiwan Bistro"
"124","劉媽媽涼麵"
"130","元食 Cafe"
"131","CPK 加州創意廚房"
"132","三太養生鐵板燒"
"134","宋廚北方菜館"
"138","柏克金啤酒餐廳"
