candidate_id,candidate_name,observed_domain,observed_url,observed_status,high_confidence_official_lead,confidence_reason
001,鼎泰豐（101店）,guide.easytravel.com.tw,https://guide.easytravel.com.tw/scenic/61552,brand_evidence_observed,false,needs_stricter_search
004,紫艷中餐廳,wingontravel.com,https://www.wingontravel.com/discovery/restaurant-13587902,brand_evidence_observed,false,needs_stricter_search
005,合.Shabu,ifoodie.tw,https://ifoodie.tw/restaurant/559dba8ac03a103ee86ca04d-%E5%90%88-shabu,brand_evidence_observed,false,needs_stricter_search
007,隨意鳥101高空觀景餐廳,,,page_fetched_name_unconfirmed,false,needs_stricter_search
008,LA FARFALLA 義式餐廳－台北艾麗酒店,tablecheck.com,https://www.tablecheck.com/zh-TW/la-farfalla-italy/reserve/landing,brand_evidence_observed,false,needs_stricter_search
010,泰市場海鮮自助餐廳,cosmopolitan.com,https://www.cosmopolitan.com/tw/lifestyle/hot-topics/g60086796/spice-market/,brand_evidence_observed,false,needs_stricter_search
011,凱菲屋－台北君悅酒店,wendyjourney.com,https://www.wendyjourney.com/hyatt-cafe/,brand_evidence_observed,false,needs_stricter_search
012,一蘭拉麵－台灣台北本店,ichiran.com.tw,https://ichiran.com.tw/shop/stores.aspx,brand_evidence_observed,false,needs_stricter_search
013,Texas Roadhouse,texasroadhouse.com.tw,https://texasroadhouse.com.tw/,brand_evidence_observed,true,brand_token_matches_domain
014,彩日本料理－台北君悅酒店,kkmurmur.com,https://kkmurmur.com/irodori-taipei/,brand_evidence_observed,false,needs_stricter_search
016,Top Cap Steakhouse,hippolife.tw,https://hippolife.tw/taipei-food-topcapsteakhouse,brand_evidence_observed,false,needs_stricter_search
017,海底撈台灣信義店（微風南山）,,,page_fetched_name_unconfirmed,false,needs_stricter_search
018,鼎泰豐（信義新光A4店）,ifoodie.tw,https://ifoodie.tw/restaurant/57716c802756dd5159c807a8-%E9%BC%8E%E6%B3%B0%E8%B1%90,brand_evidence_observed,false,needs_stricter_search
019,泰集 Thai Bazaar（微風信義店）,anikofoodie.com,https://anikofoodie.com/thaibazaar/,brand_evidence_observed,false,needs_stricter_search
020,探索廚房－台北寒舍艾美酒店,tablecheck.com,https://www.tablecheck.com/zh-TW/le-meridien-taipei-latest-recipe/reserve/landing,brand_evidence_observed,false,needs_stricter_search
021,勞瑞斯牛肋排餐廳,anikofoodie.com,https://anikofoodie.com/lawrys/,brand_evidence_observed,false,needs_stricter_search
022,CÉ LA VI Taipei,tw.celavi.com,https://tw.celavi.com/,brand_evidence_observed,false,needs_stricter_search
023,侯布雄法式餐廳,bellavita.com.tw,https://www.bellavita.com.tw/catalogue/goodslist.php?d=199,brand_evidence_observed,true,curated_brand_or_venue_domain
024,老乾杯－台北信義店,kanpaiclassic.com.tw,https://www.kanpaiclassic.com.tw/zh/branch,brand_evidence_observed,false,needs_stricter_search
025,French Windows－British TeaHouse,wensgoodlife.com,https://www.wensgoodlife.com/french-windows-british-teahouse/,brand_evidence_observed,false,needs_stricter_search
026,欣葉台菜－信義A9店,tiffany0118.tw,https://tiffany0118.tw/shinyeh-a9/,brand_evidence_observed,false,needs_stricter_search
029,春水堂－松菸店,findcoupon.tw,https://www.findcoupon.tw/store-5217.htm,brand_evidence_observed,false,needs_stricter_search
030,Woolloomooloo,woolloomooloo.tw,https://woolloomooloo.tw/,brand_evidence_observed,true,brand_token_matches_domain
031,馬辣頂級麻辣鴛鴦火鍋信義店,sarychien.com,https://sarychien.com/%E9%A6%AC%E8%BE%A3%E9%A0%82%E7%B4%9A%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E7%81%AB%E9%8D%8B-%E4%BF%A1%E7%BE%A9%E5%BA%97/,brand_evidence_observed,false,needs_stricter_search
032,饗食天堂信義店,bunnyann.tw,https://bunnyann.tw/eatogether-0611/,brand_evidence_observed,false,needs_stricter_search
033,Smith & Wollensky 牛排館,smithandwollensky.com.tw,https://smithandwollensky.com.tw/,brand_evidence_observed,true,brand_token_matches_domain
034,頂鮮101美食美景餐廳,taiwantour.net,https://taiwantour.net/101-tea/,brand_evidence_observed,false,needs_stricter_search
035,心潮飯店 Sinchao Rice Shoppe,linktr.ee,https://linktr.ee/sinchaoriceshoppe,brand_evidence_observed,false,needs_stricter_search
036,Hooters Xinyi 美式餐廳,hooters.com.tw,https://www.hooters.com.tw/,brand_evidence_observed,true,brand_token_matches_domain
038,DA ANTONIO By 大安東尼,daantonio.oddle.me,https://daantonio.oddle.me/zh_TW,brand_evidence_observed,true,brand_token_matches_domain
039,樂天皇朝台灣,paradisegp.com,https://www.paradisegp.com/tc/tw/,brand_evidence_observed,false,needs_stricter_search
040,TGI Friday's,tgifridays.com.tw,https://tgifridays.com.tw/,brand_evidence_observed,true,brand_token_matches_domain
041,欣葉日本料理信義店,shinyeh.com.tw,https://www.shinyeh.com.tw/content/zh/brand/Index.aspx?BrandId=4,brand_evidence_observed,false,needs_stricter_search
042,莫爾頓牛排館,ifoodie.tw,https://ifoodie.tw/restaurant/56a8e7d12756dd3766b26931-%E8%8E%AB%E7%88%BE%E9%A0%93%E7%89%9B%E6%8E%92%E9%A4%A8-Morton-%E4%BF%A1%E7%BE%A9%E5%BE%AE%E9%A2%A8,brand_evidence_observed,false,needs_stricter_search
043,春水堂－信義新光三越A9店,rsv.skm.com.tw,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-KsqbueWIURxuxAQ8EIy:inline-live-chunshuitang/restaurants/-KsqbufnXi_ftq44E7bU/takeout?request_locale=en_US,brand_evidence_observed,true,curated_brand_or_venue_domain
044,瓦城泰國料理－台北阪急店,thaitown.com.tw,https://www.thaitown.com.tw/tw/booking,brand_evidence_observed,false,needs_stricter_search
045,GB鮮釀餐廳信義店,,,page_fetched_name_unconfirmed,false,needs_stricter_search
