candidate_id,candidate_name,source_candidate_name
001,鼎泰豐,鼎泰豐（101店）
004,紫艷中餐廳,紫艷中餐廳
005,合.Shabu,合.Shabu
006,樂軒松阪亭,樂軒松阪亭
007,隨意鳥101高空觀景餐廳,隨意鳥101高空觀景餐廳
008,LA FARFALLA 義式餐廳,LA FARFALLA 義式餐廳－台北艾麗酒店
010,泰市場海鮮自助餐廳,泰市場海鮮自助餐廳
011,凱菲屋,凱菲屋－台北君悅酒店
014,彩日本料理,彩日本料理－台北君悅酒店
016,Top Cap Steakhouse,Top Cap Steakhouse
017,海底撈台灣,海底撈台灣信義店（微風南山）
018,鼎泰豐,鼎泰豐（信義新光A4店）
019,泰集 Thai Bazaar,泰集 Thai Bazaar（微風信義店）
020,探索廚房,探索廚房－台北寒舍艾美酒店
023,侯布雄法式餐廳,侯布雄法式餐廳
025,French Windows,French Windows－British TeaHouse
026,欣葉台菜,欣葉台菜－信義A9店
029,春水堂,春水堂－松菸店
031,馬辣頂級麻辣鴛鴦火鍋,馬辣頂級麻辣鴛鴦火鍋信義店
033,Smith & Wollensky 牛排館,Smith & Wollensky 牛排館
034,頂鮮101美食美景餐廳,頂鮮101美食美景餐廳
035,心潮飯店 Sinchao Rice Shoppe,心潮飯店 Sinchao Rice Shoppe
038,DA ANTONIO By 大安東尼,DA ANTONIO By 大安東尼
042,莫爾頓牛排館,莫爾頓牛排館
043,春水堂,春水堂－信義新光三越A9店
045,GB鮮釀餐廳,GB鮮釀餐廳信義店
046,Bel Air Bar & Grill,Bel Air Bar & Grill
047,茶苑,茶苑－台北君悅酒店
048,漂亮台式海鮮餐廳,漂亮台式海鮮餐廳
049,燒肉同話,燒肉同話－台北光復南店
050,厲家菜,厲家菜
051,小南門傳統豆花美食,小南門傳統豆花美食
052,徐淮人家,徐淮人家
055,添好運,添好運台北信義店
056,Ziga Zaga,Ziga Zaga－台北君悅酒店
058,日本橋海鮮丼 辻半,日本橋海鮮丼 辻半－微風信義店
059,穆記小吃牛肉麵館,穆記小吃牛肉麵館
060,橘色涮涮屋 A9店,橘色涮涮屋新光三越A9店
062,L.A PHO 越南美食餐廳,L.A PHO 越南美食餐廳
063,寒舍食譜,寒舍食譜－台北寒舍艾美酒店
065,愛爾蘭瘋薯,愛爾蘭瘋薯（信義威秀）
068,雲錦中餐廳,雲錦中餐廳－台北君悅酒店
069,味美早餐店 Wei Mei Breakfast Restaurant,味美早餐店 Wei Mei Breakfast Restaurant
071,Just Grill,Just Grill
072,永心鳳茶,永心鳳茶
073,歐帕希臘小館,歐帕希臘小館
074,Osteria by Angie,Osteria by Angie
077,珍寶海鮮,珍寶海鮮台北信義店
078,酮版低糖餐廳,酮版低糖餐廳
082,Herbivore,Herbivore
083,Cheers,Cheers－台北君悅酒店
085,段純貞牛肉麵,段純貞牛肉麵
087,Seasons by Olivier E.,Seasons by Olivier E.
089,The Chapter Cafe,The Chapter Cafe
090,One Rule,One Rule
091,勝博殿日式炸豬排,勝博殿日式炸豬排
092,輪輪1976 和食茶酒驛,輪輪1976 和食茶酒驛
093,Khana Khazana Indian Kitchen,Khana Khazana Indian Kitchen
094,施家麻油腰花,施家麻油腰花
095,鯤壽司,鯤壽司
097,納達吉印度料理 Nataraj,納達吉印度料理 Nataraj
098,北平都一處,北平都一處
099,小後苑,小後苑
101,北平陶然亭 Beijing,北平陶然亭 Beijing－Do It True
102,NOLA Kitchen,NOLA Kitchen－信義店
103,阮小越,阮小越
104,牛かつもと村,牛かつもと村－遠百信義A13
107,陳根找茶,陳根找茶
108,戴記獨臭之家,戴記獨臭之家
109,楓樹韓國烤肉,楓樹韓國烤肉
112,心月懷石日本料理,心月懷石日本料理
113,周胖子餃子館,周胖子餃子館－忠孝店
114,Divadlo 捷克公寓,Divadlo 捷克公寓
115,YABI Kitchen,YABI Kitchen－微風南山店
116,I Met You Cafe,I Met You Cafe
117,大戶屋,大戶屋－松山車站店
118,大戶屋,大戶屋－統一時代台北店
119,In Between,In Between
120,Hong Kong 88 Hot Pot,Hong Kong 88 Hot Pot
121,Bing,Bing
122,MiaCucina,MiaCucina－信義店
123,渣男 Taiwan Bistro,渣男 Taiwan Bistro
124,劉媽媽涼麵,劉媽媽涼麵
125,KingSpicy J,KingSpicy J
127,上席小館,上席小館
128,紅豆食府,紅豆食府－信義店
130,元食 Cafe,元食 Cafe
131,CPK 加州創意廚房,CPK 加州創意廚房
132,三太養生鐵板燒,三太養生鐵板燒
134,宋廚北方菜館,宋廚北方菜館
135,辛殿麻辣鍋,辛殿麻辣鍋－信義店
136,同壽司,同壽司－信義區
137,拾穗,拾穗
140,TAMED FOX,TAMED FOX－信義店
