candidate_id,candidate_name,match_rank,match_score,matched_tokens,registered_name,tax_id,address,food_business_registration_id,registration_item,match_status,reviewer_status,evidence_boundary
001,鼎泰豐（101店）,1,142,鼎泰豐,鼎泰豐小吃店股份有限公司,86125275,台北市信義區市府路45號B1,A-186125275-00006-0,餐飲場所,strong_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
001,鼎泰豐（101店）,2,142,鼎泰豐,鼎泰豐小吃店股份有限公司,86125275,台北市信義區松高路19號B2,A-186125275-00011-6,餐飲場所,strong_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
001,鼎泰豐（101店）,3,142,鼎泰豐,鼎泰豐小吃店股份有限公司,86125275,台北市信義區松仁路58號1樓,A-186125275-00014-9,餐飲場所,strong_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
002,食令 Shabu,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
003,艾朋牛排餐酒館,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
004,紫艷中餐廳,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
005,合.Shabu,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
006,樂軒松阪亭,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
007,隨意鳥101高空觀景餐廳,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
008,LA FARFALLA 義式餐廳－台北艾麗酒店,1,21,義式,焗的飽平價義式焗烤,,台北市信義區永吉路443巷48號,A-200164744-00001-6,餐飲場所,fuzzy_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
009,馬友友印度廚房,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
010,泰市場海鮮自助餐廳,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
011,凱菲屋－台北君悅酒店,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
012,一蘭拉麵－台灣台北本店,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
013,Texas Roadhouse,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
014,彩日本料理－台北君悅酒店,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
015,INPARADISE 饗饗,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
016,Top Cap Steakhouse,,,,,,,,,no_plausible_name_lead,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
017,海底撈台灣信義店（微風南山）,1,33,海底撈,海底撈火鍋股份有限公司,24944747,台北市信義區松智路17號B2海底撈,A-124944747-00001-0,餐飲場所,fuzzy_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
017,海底撈台灣信義店（微風南山）,2,30,海底撈,新加坡商海底撈國際食品有限公司,54964001,台北市信義區忠孝東路五段43號1樓,A-154964001-00002-9,餐飲場所,fuzzy_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
017,海底撈台灣信義店（微風南山）,3,30,海底撈,新加坡商海底撈國際食品有限公司,54964001,台北市信義區松智路17號B2,A-154964001-00025-4,餐飲場所,fuzzy_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
018,鼎泰豐（信義新光A4店）,1,137,鼎泰豐,鼎泰豐小吃店股份有限公司,86125275,台北市信義區市府路45號B1,A-186125275-00006-0,餐飲場所,strong_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
018,鼎泰豐（信義新光A4店）,2,137,鼎泰豐,鼎泰豐小吃店股份有限公司,86125275,台北市信義區松高路19號B2,A-186125275-00011-6,餐飲場所,strong_name_lead_needs_manual_confirmation,pending_manual_review,Name similarity creates a lead only; it does not prove candidate-store identity or current operation.
