candidate_id,candidate_name,cuisine_stratum,business_type_stratum,price_band,legacy_priority,provisional_brand_domain,source_review_status,eligibility_decision,eligibility_reviewer,eligibility_reviewed_at,evidence_urls,official_site_url,official_domain_status,shared_domain_flag,owned_urls,measurement_eligibility,cohort_status,cohort_exclusion_reason,baseline_active_status,selected_for_measurement,selection_reason,notes
1,鼎泰豐（101店）,台／中式,連鎖／飯店,$$,P1 優先,dintaifung.com.tw,verified_active,include,eason,2026-09-09,https://www.dintaifung.com.tw/store-detail.php?id=252|https://www.taipei-101.com.tw/tw/shopping/dining,https://www.dintaifung.com.tw/store-detail.php?id=252,shared_domain,true,https://www.dintaifung.com.tw/store-detail.php?id=252,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區市府路45號B1；品牌：鼎泰豐
2,食令 Shabu,鍋物,獨立／地方品牌,$$,P2 補足多樣性,shilingshabu.com,verified_active,include,eason,2026-09-09,http://www.shilingshabu.com/|https://www.taipei-101.com.tw/tw/shopping/dining,http://www.shilingshabu.com/,verified_first_party,false,http://www.shilingshabu.com/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區市府路45號4樓；品牌：食令 Shabu
3,艾朋牛排餐酒館,西式,獨立／地方品牌,$$$,P2 補足多樣性,apointsteak.com.tw,verified_active,include,eason,2026-09-09,https://www.apointsteak.com.tw/|https://goo.gl/maps/apoint,https://www.apointsteak.com.tw/,verified_first_party,false,https://www.apointsteak.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段139號2樓；品牌：艾朋牛排餐酒館
4,紫艷中餐廳,台／中式,獨立／地方品牌,$$,P2 補足多樣性,marriott.com,verified_active,include,eason,2026-09-09,https://www.marriott.com/en-us/hotels/tpewh-w-taipei/dining/yen-chinese-restaurant/|https://www.tablecheck.com/zh-TW/w-hotel-yen/reserve,https://www.marriott.com/en-us/hotels/tpewh-w-taipei/dining/yen-chinese-restaurant/,shared_domain,true,https://www.marriott.com/en-us/hotels/tpewh-w-taipei/dining/yen-chinese-restaurant/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段10號31樓；品牌：紫艷中餐廳
5,合.Shabu,鍋物,獨立／地方品牌,$$,P2 補足多樣性,hostshabu.com,verified_active,include,eason,2026-09-09,https://www.hostshabu.com/hostshabulocation.html|https://www.bellavita.com.tw/cht/store.php?d=95,https://www.hostshabu.com/hostshabulocation.html,verified_first_party,false,https://www.hostshabu.com/hostshabulocation.html,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松仁路28號4樓；品牌：合.Shabu
6,樂軒松阪亭,台／中式,獨立／地方品牌,$$$,P2 補足多樣性,skm.com.tw,verified_active,include,eason,2026-09-09,https://www.skm.com.tw/brand/11129|https://inline.app/booking/roken,https://www.skm.com.tw/brand/11129,shared_domain,true,https://www.skm.com.tw/brand/11129,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路19號6樓；品牌：樂軒松阪亭
7,隨意鳥101高空觀景餐廳,台／中式,獨立／地方品牌,$$$$,P2 補足多樣性,dt101.com.tw,verified_active,include,eason,2026-09-09,https://www.dt101.com.tw/|https://www.taipei-101.com.tw/tw/shopping/dining,https://www.dt101.com.tw/,shared_domain,true,https://www.dt101.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區信義路五段7號85樓；品牌：隨意鳥101高空觀景餐廳
8,LA FARFALLA 義式餐廳－台北艾麗酒店,西式,連鎖／飯店,$$$,P1 優先,humblehousehotels.com,verified_active,include,eason,2026-09-09,https://www.humblehousehotels.com/zh-tw/websev?cat=restaurant&id=1|https://www.tablecheck.com/zh-TW/la-farfalla-italy/reserve/landing,https://www.humblehousehotels.com/zh-tw/websev?cat=restaurant&id=1,shared_domain,true,https://www.humblehousehotels.com/zh-tw/websev?cat=restaurant&id=1,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路18號6樓；品牌：LA FARFALLA 義式餐廳
9,馬友友印度廚房,東南／南亞,獨立／地方品牌,$$,P2 補足多樣性,indianfoodtaiwan.com,verified_active,include,eason,2026-09-09,https://www.indianfoodtaiwan.com/zh|https://goo.gl/maps/mik,https://www.indianfoodtaiwan.com/zh,verified_first_party,false,https://www.indianfoodtaiwan.com/zh,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區基隆路一段350號；品牌：馬友友印度廚房
10,泰市場海鮮自助餐廳,東南／南亞,獨立／地方品牌,$$,P2 補足多樣性,regenttaiwan.com,verified_excluded,exclude,eason,2026-09-09,https://www.regenttaiwan.com/dining/outside-dining/spice-market,https://www.regenttaiwan.com/dining/outside-dining/spice-market,shared_domain,true,https://www.regenttaiwan.com/dining/outside-dining/spice-market,exclude,excluded,not_in_district: 原誠品信義店閉館後已遷出信義區至大直英迪格酒店營業,operating,exclude,not_in_district: 原誠品信義店閉館後已遷出信義區至大直英迪格酒店營業,地址：台北市中山區植福路200號4樓；品牌：泰市場海鮮自助餐廳
